userID	artistID	interactions
0	45	13883
0	46	11690
0	47	11351
0	48	10300
0	49	8983
0	50	6152
0	51	5955
0	52	4616
0	53	4337
0	54	4147
0	55	3923
0	56	3782
0	57	3735
0	58	3644
0	59	3579
0	60	3312
0	61	3301
0	62	2927
0	63	2720
0	64	2686
0	65	2654
0	66	2619
0	67	2584
0	68	2547
0	69	2397
0	70	2382
0	71	2120
0	72	2119
0	73	1990
0	74	1972
0	75	1948
0	76	1868
0	77	1792
0	78	1740
0	79	1638
0	80	1594
0	81	1559
0	82	1553
0	83	1519
0	84	1471
0	85	1438
0	86	1411
0	87	1407
0	88	1373
0	89	1363
0	90	1342
0	91	1337
0	92	1332
0	93	1330
0	94	1315
1	95	13176
1	96	662
1	97	493
1	98	431
1	99	403
1	100	354
1	101	269
1	102	236
1	103	215
1	104	215
1	105	212
1	106	193
1	107	187
1	108	167
1	109	163
1	110	154
1	111	151
1	112	142
1	113	142
1	114	125
1	115	111
1	116	108
1	117	104
1	118	99
1	119	98
1	120	94
1	121	89
1	122	89
1	123	86
1	124	85
1	125	84
1	126	83
1	127	83
1	128	77
1	129	77
1	130	76
1	131	75
1	132	72
1	133	72
1	134	71
1	135	70
1	136	70
1	137	70
1	138	69
1	139	68
1	140	67
1	141	67
1	142	66
1	143	66
1	144	65
2	45	228
2	47	686
2	58	420
2	59	301
2	64	389
2	66	4983
2	71	396
2	145	1807
2	146	1208
2	147	903
2	148	826
2	149	777
2	150	743
2	151	732
2	152	729
2	153	724
2	154	712
2	155	632
2	156	524
2	157	465
2	158	455
2	159	446
2	160	445
2	161	407
2	162	404
2	163	384
2	164	366
2	165	359
2	166	309
2	167	292
2	168	287
2	169	285
2	170	284
2	171	284
2	172	279
2	173	264
2	174	256
2	175	255
2	176	254
2	177	253
2	178	247
2	179	240
2	180	236
2	181	223
2	182	221
2	183	210
2	184	208
2	185	202
2	186	197
2	187	193
3	47	181
3	148	884
3	167	241
3	176	222
3	184	826
3	188	777
3	189	673
3	190	620
3	191	452
3	192	451
3	193	374
3	194	337
3	195	304
3	196	298
3	197	287
3	198	283
3	199	275
3	200	265
3	201	259
3	202	255
3	203	252
3	204	229
3	205	222
3	206	210
3	207	209
3	208	207
3	209	196
3	210	192
3	211	185
3	212	184
3	213	178
3	214	170
3	215	161
3	216	161
3	217	149
3	218	143
3	219	142
3	220	139
3	221	138
3	222	138
3	223	138
3	224	137
3	225	134
3	226	133
3	227	130
3	228	129
3	229	129
3	230	127
3	231	118
3	232	115
4	71	16
4	233	41
4	234	41
4	235	40
4	236	37
4	237	34
4	238	33
4	239	31
4	240	31
4	241	27
4	242	26
4	243	24
4	244	24
4	245	24
4	246	24
4	247	23
4	248	20
4	249	20
4	250	19
4	251	18
4	252	18
4	253	18
4	254	18
4	255	18
4	256	17
4	257	17
4	258	17
4	259	17
4	260	16
4	261	16
4	262	16
4	263	16
4	264	16
4	265	15
4	266	15
4	267	15
4	268	15
4	269	14
4	270	14
4	271	14
4	272	14
4	273	14
4	274	14
4	275	14
4	276	14
4	277	14
4	278	13
4	279	13
4	280	13
4	281	13
5	49	3151
5	61	2540
5	83	5846
5	251	5188
5	282	43864
5	283	11112
5	284	6266
5	285	5379
5	286	4201
5	287	4059
5	288	3251
5	289	2852
5	290	2356
5	291	1848
5	292	1802
5	293	1780
5	294	1747
5	295	1553
5	296	1490
5	297	1426
5	298	1312
5	299	1169
5	300	1164
5	301	1162
5	302	1082
5	303	1027
5	304	962
5	305	960
5	306	926
5	307	900
5	308	868
5	309	834
5	310	809
5	311	773
5	312	753
5	313	741
5	314	719
5	315	674
5	316	667
5	317	646
5	318	605
5	319	599
5	320	593
5	321	587
5	322	571
5	323	534
5	324	527
5	325	516
5	326	510
5	327	498
6	65	181
6	83	921
6	91	354
6	245	235
6	251	479
6	259	581
6	282	428
6	283	2258
6	285	402
6	286	783
6	289	1425
6	290	1039
6	292	613
6	294	347
6	296	432
6	305	353
6	317	578
6	328	6291
6	329	2396
6	330	1735
6	331	1407
6	332	963
6	333	819
6	334	800
6	335	794
6	336	753
6	337	588
6	338	553
6	339	527
6	340	520
6	341	505
6	342	504
6	343	494
6	344	494
6	345	456
6	346	417
6	347	400
6	348	389
6	349	361
6	350	350
6	351	345
6	352	280
6	353	277
6	354	257
6	355	253
6	356	229
6	357	185
6	358	178
6	359	177
6	360	173
7	7	587
7	361	2396
7	362	1444
7	363	1158
7	364	1113
7	365	1103
7	366	1069
7	367	729
7	368	708
7	369	630
7	370	629
7	371	609
7	372	590
7	373	558
7	374	556
7	375	556
7	376	533
7	377	521
7	378	510
7	379	467
7	380	465
7	381	430
7	382	411
7	383	403
7	384	381
7	385	367
7	386	364
7	387	357
7	388	345
7	389	319
7	390	307
7	391	307
7	392	306
7	393	292
7	394	290
7	395	289
7	396	280
7	397	273
7	398	273
7	399	267
7	400	260
7	401	249
7	402	249
7	403	242
7	404	241
7	405	237
7	406	236
7	407	234
7	408	229
7	409	228
8	148	177
8	153	225
8	190	1137
8	193	1386
8	194	306
8	202	310
8	211	761
8	213	189
8	219	1297
8	222	279
8	223	992
8	410	3132
8	411	1584
8	412	1056
8	413	1029
8	414	1023
8	415	956
8	416	878
8	417	845
8	418	797
8	419	729
8	420	603
8	421	583
8	422	578
8	423	573
8	424	560
8	425	546
8	426	527
8	427	483
8	428	455
8	429	367
8	430	317
8	431	315
8	432	308
8	433	291
8	434	247
8	435	238
8	436	235
8	437	229
8	438	208
8	439	204
8	440	199
8	441	189
8	442	178
8	443	177
8	444	173
8	445	169
8	446	165
8	447	161
8	448	157
9	61	229
9	83	3384
9	151	1007
9	224	329
9	228	370
9	282	749
9	283	3851
9	286	555
9	288	264
9	289	521
9	294	347
9	295	306
9	298	1031
9	300	249
9	319	298
9	321	337
9	323	553
9	338	243
9	343	341
9	449	4416
9	450	1951
9	451	1788
9	452	1708
9	453	1567
9	454	1531
9	455	1500
9	456	1318
9	457	1235
9	458	1117
9	459	1006
9	460	956
9	461	793
9	462	719
9	463	552
9	464	548
9	465	537
9	466	514
9	467	441
9	468	425
9	469	424
9	470	337
9	471	336
9	472	329
9	473	321
9	474	314
9	475	293
9	476	251
9	477	247
9	478	244
9	479	238
10	66	2144
10	183	2976
10	185	4259
10	224	2110
10	282	3072
10	294	1064
10	327	23961
10	338	5489
10	371	59695
10	372	31617
10	399	1034
10	401	1600
10	460	1485
10	480	24097
10	481	7867
10	482	7425
10	483	7399
10	484	4527
10	485	3837
10	486	3823
10	487	3727
